Counter,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(℃),frame id,crc,rssi,period(ms),
11771,06-26  05:39:53,[KUMHO110087A90EDD2066000100F000FAAE4E0068D8A12DFB00C3],87A90EDD,20,1.0.2,1.0.4,0.0,29.00,2.917,2.96,23.0,55457,00,-61,14078,
11772,06-26  05:39:54,[KUMHO110087A934392066000100F8010DB14E006800AD2DFC00C2],87A93439,20,1.0.2,1.0.4,0.0,37.00,9.244,2.99,23.0,173,00,-62,319,
11773,06-26  05:39:55,[KUMHO110087A934372066000100F700FFAE4F0068D2312DFD00C9],87A93437,20,1.0.2,1.0.4,0.0,36.00,4.582,2.96,24.0,53809,00,-55,1127,
