Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
1,11-03  05:23:35,EFM1[KUMHO110087A90C9E246B000100E400FCB05194916A00CC],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38033,00,-52,10288
1,11-03  05:23:35,EFM1[KUMHO110087A90D98246B0001010E00FD9E51A9C26A00C0],87A90D98,24,1.0.7,1.0.6,-2.4,59.00,3.916,2.8,26.0,43458,00,-64,10182
1,11-03  05:23:35,EFM1[KUMHO110087A90CCF246B000100E100FBAA4F36606A00C3],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.92,24.0,13920,00,-61,10098
1,11-03  05:23:37,EFM1[KUMHO110087A91B39246B0001010D00FCAF52444C6A00BF],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.97,27.0,17484,00,-65,10160
1,11-03  05:23:41,EFM1[KUMHO110087A90C87246B000100E400FDB051C73E6A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51006,00,-66,10112
1,11-03  05:23:41,EFM1[KUMHO110087A92031246B000100E100FBAF52FEFA6A00C2],87A92031,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.97,27.0,65274,00,-62,10256
1,11-03  05:23:43,EFM1[KUMHO110087A91CB2246B0001011C0100B04EAB316A00C6],87A91CB2,24,1.0.7,1.0.6,-2.4,73.00,4.915,2.98,23.0,43825,00,-58,10223
1,11-03  05:23:44,EFM1[KUMHO110087A90C04246B000100E900FEB050C0F86A00C6],87A90C04,24,1.0.7,1.0.6,-2.4,22.00,4.249,2.98,25.0,49400,00,-58,20305
1,11-03  05:23:45,EFM1[KUMHO110087A90D98246B0001010E00FD9F51A9C36A00BE],87A90D98,24,1.0.7,1.0.6,-2.4,59.00,3.916,2.81,26.0,43459,00,-66,10075
1,11-03  05:23:45,EFM1[KUMHO110087A90C9E246B000100E400FCB05194926A00CE],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38034,00,-50,10288
1,11-03  05:23:45,EFM1[KUMHO110087A90CCF246B000100E100FBAA4F36616A00C3],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.92,24.0,13921,00,-61,10105
1,11-03  05:23:46,EFM1[KUMHO110087A90C83246B000100E000FAB1519D516A00C2],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.99,26.0,40273,00,-62,20464
1,11-03  05:23:47,EFM1[KUMHO110087A91B39246B0001010E00FCAF51444D6A00C3],87A91B39,24,1.0.7,1.0.6,-2.4,59.00,3.583,2.97,26.0,17485,00,-61,10160
1,11-03  05:23:50,EFM1[KUMHO110087A90C9C246B000100E500FBB051D8736A00C8],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,3.250,2.98,26.0,55411,00,-56,20146
1,11-03  05:23:51,EFM1[KUMHO110087A90C87246B000100E400FDB051C73F6A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51007,00,-66,10113
1,11-03  05:23:55,EFM1[KUMHO110087A90C04246B000100E800FDB050C0F96A00C5],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,3.916,2.98,25.0,49401,00,-59,10145
1,11-03  05:23:55,EFM1[KUMHO110087A90D98246B0001010E00FC9E50A9C46A00BD],87A90D98,24,1.0.7,1.0.6,-2.4,59.00,3.583,2.8,25.0,43460,00,-67,10129
1,11-03  05:23:57,EFM1[KUMHO110087A90C83246B000100E000FBB1519D526A00BE],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,3.250,2.99,26.0,40274,00,-66,10241
1,11-03  05:23:57,EFM1[KUMHO110087A91B39246B0001010D00FBAF51444E6A00C1],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.250,2.97,26.0,17486,00,-63,10161
1,11-03  05:24:00,EFM1[KUMHO110087A90C9C246B000100E500FCB051D8746A00C8],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,3.583,2.98,26.0,55412,00,-56,10081
1,11-03  05:24:02,EFM1[KUMHO110087A92031246B000100E200FBAF52FEFC6A00C1],87A92031,24,1.0.7,1.0.6,-2.4,15.00,3.250,2.97,27.0,65276,00,-63,20497
1,11-03  05:24:03,EFM1[KUMHO110087A91CB2246B0001011B0100B04EAB336A00C6],87A91CB2,24,1.0.7,1.0.6,-2.4,72.00,4.915,2.98,23.0,43827,00,-58,20433
1,11-03  05:24:05,EFM1[KUMHO110087A90C04246B000100E800FEB050C0FA6A00C6],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,4.249,2.98,25.0,49402,00,-58,10144
1,11-03  05:24:05,EFM1[KUMHO110087A90D98246B0001010D00FD9F50A9C56A00BE],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.916,2.81,25.0,43461,00,-66,10128
1,11-03  05:24:06,EFM1[KUMHO110087A90CCF246B000100E100FBAA4F36636A00C2],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.92,24.0,13923,00,-62,20184
1,11-03  05:24:06,EFM1[KUMHO110087A90C9E246B000100E400FCB05194946A00CC],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38036,00,-52,20560
1,11-03  05:24:07,EFM1[KUMHO110087A90C83246B000100E000FBB1519D536A00C1],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,3.250,2.99,26.0,40275,00,-63,10240
1,11-03  05:24:08,EFM1[KUMHO110087A91B39246B0001010E00FCAF51444F6A00BC],87A91B39,24,1.0.7,1.0.6,-2.4,59.00,3.583,2.97,26.0,17487,00,-68,10159
1,11-03  05:24:10,EFM1[KUMHO110087A90C9C246B000100E400FBB051D8756A00C8],87A90C9C,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,26.0,55413,00,-56,10080
1,11-03  05:24:11,EFM1[KUMHO110087A90C87246B000100E400FDB051C7416A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51009,00,-66,20241
1,11-03  05:24:12,EFM1[KUMHO110087A92031246B000100E100FBAF51FEFD6A00C2],87A92031,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.97,26.0,65277,00,-62,10256
1,11-03  05:24:14,EFM1[KUMHO110087A91CB2246B0001011C0100B04EAB346A00C6],87A91CB2,24,1.0.7,1.0.6,-2.4,73.00,4.915,2.98,23.0,43828,00,-58,10225
1,11-03  05:24:16,EFM1[KUMHO110087A90D98246B0001010E00FC9E50A9C66A00C1],87A90D98,24,1.0.7,1.0.6,-2.4,59.00,3.583,2.8,25.0,43462,00,-63,10128
1,11-03  05:24:16,EFM1[KUMHO110087A90C9E246B000100E400FCB05194956A00CC],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38037,00,-52,10288
1,11-03  05:24:21,EFM1[KUMHO110087A90C87246B000100E400FDB051C7426A00C0],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51010,00,-64,10112
1,11-03  05:24:22,EFM1[KUMHO110087A92031246B000100E100FBAF52FEFE6A00C8],87A92031,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.97,27.0,65278,00,-56,10255
1,11-03  05:24:25,EFM1[KUMHO110087A90C04246B000100E800FEB050C0FC6A00C5],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,4.249,2.98,25.0,49404,00,-59,20304
1,11-03  05:24:26,EFM1[KUMHO110087A90D98246B0001010D00FD9F50A9C76A00C3],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.916,2.81,25.0,43463,00,-61,10128
1,11-03  05:24:26,EFM1[KUMHO110087A90C9E246B000100E400FCB05194966A00CA],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38038,00,-54,10288
1,11-03  05:24:30,EFM1[KUMHO110087A90C9C246B000100E400FBB051D8776A00C7],87A90C9C,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,26.0,55415,00,-57,20145
1,11-03  05:24:32,EFM1[KUMHO110087A90C87246B000100E500FDB051C7436A00C0],87A90C87,24,1.0.7,1.0.6,-2.4,18.00,3.916,2.98,26.0,51011,00,-64,10113
1,11-03  05:24:34,EFM1[KUMHO110087A91CB2246B0001011B0100B04EAB366A00C6],87A91CB2,24,1.0.7,1.0.6,-2.4,72.00,4.915,2.98,23.0,43830,00,-58,20433
1,11-03  05:24:35,EFM1[KUMHO110087A90C04246B000100E800FEB050C0FD6A00C4],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,4.249,2.98,25.0,49405,00,-60,10145
1,11-03  05:24:36,EFM1[KUMHO110087A90D98246B0001010E00FC9F51A9C86A00C1],87A90D98,24,1.0.7,1.0.6,-2.4,59.00,3.583,2.81,26.0,43464,00,-63,10129
1,11-03  05:24:36,EFM1[KUMHO110087A90CCF246B000100E100FAAA4F36666A00C3],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.92,24.0,13926,00,-61,30340
1,11-03  05:24:37,EFM1[KUMHO110087A90C9E246B000100E400FCB05194976A00CB],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38039,00,-53,10288
1,11-03  05:24:40,EFM1[KUMHO110087A90C9C246B000100E500FCB051D8786A00C6],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,3.583,2.98,26.0,55416,00,-58,10080
1,11-03  05:24:42,EFM1[KUMHO110087A90C87246B000100E400FDB051C7446A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51012,00,-66,10129
1,11-03  05:24:43,EFM1[KUMHO110087A92031246B000100E100FBAF52FF006A00BA],87A92031,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.97,27.0,65280,00,-70,20497
1,11-03  05:24:44,EFM1[KUMHO110087A91CB2246B0001011B0100B04EAB376A00C6],87A91CB2,24,1.0.7,1.0.6,-2.4,72.00,4.915,2.98,23.0,43831,00,-58,10224
1,11-03  05:24:45,EFM1[KUMHO110087A90C04246B000100E800FEB050C0FE6A00C4],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,4.249,2.98,25.0,49406,00,-60,10144
1,11-03  05:24:46,EFM1[KUMHO110087A90D98246B000101055555501010106A01BD],87A90D98,24,1.0.7,1.0.6,-2.4,50.00,7194.052,2.02,-39.0,4112,01,-67,10128
1,11-03  05:24:47,EFM1[KUMHO110087A90C9E246B000100E400FCB05194986A00CB],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38040,00,-53,10288
1,11-03  05:24:48,EFM1[KUMHO110087A91B39246B0001010D00FBAF5244536A00C1],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.250,2.97,27.0,17491,00,-63,40626
1,11-03  05:24:52,EFM1[KUMHO110087A90C87246B000100E400FDB051C7456A00BD],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51013,00,-67,10112
1,11-03  05:24:53,EFM1[KUMHO110087A92031246B000100E100FBAF52FF016A00BD],87A92031,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.97,27.0,65281,00,-67,10256
1,11-03  05:24:56,EFM1[KUMHO110087A90CCF246B000100E000FBAA4F36606A01C2],87A90CCF,24,1.0.7,1.0.6,-2.4,13.00,3.250,2.92,24.0,13920,01,-62,20142
1,11-03  05:24:57,EFM1[KUMHO110087A90C9E246B000100E400FBB05194996A00CB],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,26.0,38041,00,-53,10288
1,11-03  05:24:58,EFM1[KUMHO110087A90C83246B000100E000FBB1519D586A00C4],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,3.250,2.99,26.0,40280,00,-60,51184
1,11-03  05:24:58,EFM1[KUMHO110087A91B39246B0001010D00FCAF5144546A00C1],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.97,26.0,17492,00,-63,10160
1,11-03  05:25:05,EFM1[KUMHO110087A91CB2246B0001011C0100B04EAB396A00C6],87A91CB2,24,1.0.7,1.0.6,-2.4,73.00,4.915,2.98,23.0,43833,00,-58,20432
1,11-03  05:25:06,EFM1[KUMHO110087A90C04246B000100E800FEB050C1006A00C5],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,4.249,2.98,25.0,49408,00,-59,20304
1,11-03  05:25:06,EFM1[KUMHO110087A90CCF246B000100E100FBAA4F36696A00C2],87A90CCF,24,1.0.7,1.0.6,-2.4,14.00,3.250,2.92,24.0,13929,00,-62,10096
1,11-03  05:25:06,EFM1[KUMHO110087A90D98246B0001010D00FC9F51A9CB6A00C1],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.81,26.0,43467,00,-63,20308
1,11-03  05:25:08,EFM1[KUMHO110087A90C9E246B000100E400FCB051949A6A00CB],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,38042,00,-53,10288
1,11-03  05:25:08,EFM1[KUMHO110087A90C83246B000100E000FBB2519D596A00C4],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,3.250,3,26.0,40281,00,-60,10240
1,11-03  05:25:09,EFM1[KUMHO110087A91B39246B0001010E00FBAF5244556A00C2],87A91B39,24,1.0.7,1.0.6,-2.4,59.00,3.250,2.97,27.0,17493,00,-62,10160
1,11-03  05:25:10,EFM1[KUMHO110087A90C9C246B000100E400FBB051D87B6A00C6],87A90C9C,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,26.0,55419,00,-58,30224
1,11-03  05:25:12,EFM1[KUMHO110087A90C87246B000100E400FDB051C7476A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.916,2.98,26.0,51015,00,-66,20241
