Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
1,11-04  01:33:26,EFM1[KUMHO110087A90D9A246B0001010B00F9B151CA7F6A00D4],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.584,2.99,26.0,51839,00,-44,10039
2,11-04  01:33:27,EFM2[KUMHO110087A91CB2246B0001011C00FEB04EC6EF6A00C0],87A91CB2,24,1.0.7,1.0.6,-2.4,73.00,4.249,2.98,23.0,50927,00,-64,10224
1,11-04  01:33:28,EFM1[KUMHO110087A91543246B000100E900FAB15166216A00C4],87A91543,24,1.0.7,1.0.6,-2.4,22.00,2.917,2.99,26.0,26145,00,-60,10354
1,11-04  01:33:28,EFM1[KUMHO110087A90D98246B0001010D00FC9E51C5B36A00C5],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,26.0,50611,00,-59,10131
1,11-04  01:33:29,EFM1[KUMHO110087A90FF2246B000100E100ACAA4E2D496A01A9],87A90FF2,24,1.0.7,1.0.6,-2.4,14.00,-23.057,2.92,23.0,11593,01,-87,1344330
1,11-04  01:33:29,EFM1[KUMHO110087A91B39246B0002010E00FCAF5160296A00B8],87A91B39,24,1.0.7,1.0.6,-2.0,59.00,3.583,2.97,26.0,24617,00,-72,10160
2,11-04  01:33:29,EFM2[KUMHO110087A91B39246B0002010E00FCAF5160296A00C0],87A91B39,24,1.0.7,1.0.6,-2.0,59.00,3.583,2.97,26.0,24617,00,-64,2
1,11-04  01:33:30,EFM1[KUMHO110087A90CCF246B000100E000FAAA4D52736A00B8],87A90CCF,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.92,22.0,21107,00,-72,10099
2,11-04  01:33:30,EFM2[KUMHO110087A90CCF246B000100E000FAAA4D52736A00B7],87A90CCF,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.92,22.0,21107,00,-73,2
2,11-04  01:33:31,EFM2[KUMHO110087A91C14246B000100E500FDB050CA596A00C6],87A91C14,24,1.0.7,1.0.6,-2.4,18.00,3.916,2.98,25.0,51801,00,-58,10074
1,11-04  01:33:31,EFM1[KUMHO110087A90C83246B000100E000FBB151B8F36A00C5],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,3.250,2.99,26.0,47347,00,-59,10238
2,11-04  01:33:31,EFM2[KUMHO110087A90C83246B000100E000FBB151B8F36A00BF],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,3.250,2.99,26.0,47347,00,-65,1
2,11-04  01:33:33,EFM2[KUMHO110087A90C9C246B000100E500FAB04FF48C6A00BE],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,2.917,2.98,24.0,62604,00,-66,10084
