,Time,Data,tire id,lib ver,sensor ver,receiver ver,pressure,z-axis,x-axis,volt (V),temp (°C),frame id,crc,rssi,period(ms)
1735,10-30 16:33:24:400,"[KUMHO110087A90CCF246B000100E000FBAB51AF856A00AE]
",87A90CCF,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.93,26.0,44933,00,-82,10081
1736,10-30 16:33:24:719,"[KUMHO110087A90D9A246B0001010B00FBB05326DB6A00B2]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.388,-0.25,2.98,28.0,9947,00,-78,10017
1737,10-30 16:33:25:502,"[KUMHO110087A91543246B000100E900FCB053C7606A00B4]
",87A91543,24,1.0.7,1.0.6,0.0,-2.624,-0.211,2.98,28.0,51040,00,-76,10337
1738,10-30 16:33:25:662,"[KUMHO110087A90C87246B000100E400FCB05340D76A00A9]
",87A90C87,24,1.0.7,1.0.6,0.0,-3.214,-0.211,2.98,28.0,16599,00,-87,10097
1739,10-30 16:33:25:805,"[KUMHO110087A92031246B000100E100FBAF537A636A00A3]
",87A92031,24,1.0.7,1.0.6,0.0,-3.568,-0.25,2.97,28.0,31331,00,-93,20466
1740,10-30 16:33:26:412,"[KUMHO110087A90D98246B0001010E00FD9F5223826A00A6]
",87A90D98,24,1.0.7,1.0.6,0.0,1.742,-0.172,2.81,27.0,9090,00,-90,10113
1741,10-30 16:33:28:122,"[KUMHO110087A90C83246B000100E000FBB053188B6A00B5]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.98,28.0,6283,00,-75,10209
1742,10-30 16:33:28:905,"[KUMHO110087A90C9E246B000200E300FCB15310536A00AC]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.99,28.0,4179,00,-84,10272
1743,10-30 16:33:29:064,"[KUMHO110087A91B39246B0002010D00FBAF53BE726A00A3]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,28.0,48754,00,-93,10129
1744,10-30 16:33:29:144,"[KUMHO110087A90C04246B000100F700FEB0533ADD6A00A2]
",87A90C04,24,1.0.7,1.0.6,0.0,-0.972,-0.133,2.98,28.0,15069,00,-94,10129
1745,10-30 16:33:32:020,"[KUMHO110087A91CB2246B0002011B0100B05025ED6A00A6]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.055,2.98,25.0,9709,00,-90,10208
1746,10-30 16:33:34:097,"[KUMHO110087A91C14246B000100E500FCAF5327236A00BA]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.096,-0.211,2.97,28.0,10019,00,-70,10049
1747,10-30 16:33:34:465,"[KUMHO110087A90CCF246B000100E000FAAB51AF866A00AD]
",87A90CCF,24,1.0.7,1.0.6,0.0,-3.686,-0.289,2.93,26.0,44934,00,-83,10065
1748,10-30 16:33:34:736,"[KUMHO110087A90D9A246B0001010A00FBB05326DC6A00B1]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.27,-0.25,2.98,28.0,9948,00,-79,10017
1749,10-30 16:33:35:759,"[KUMHO110087A90C87246B000100E400FDB05340D86A00A8]
",87A90C87,24,1.0.7,1.0.6,0.0,-3.214,-0.172,2.98,28.0,16600,00,-88,10096
1750,10-30 16:33:35:838,"[KUMHO110087A91543246B000100E900FCB053C7616A00AF]
",87A91543,24,1.0.7,1.0.6,0.0,-2.624,-0.211,2.98,28.0,51041,00,-81,10336
1751,10-30 16:33:35:886,"[KUMHO110087A90C9C246B000200E500FAB053516E6A00AD]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.289,2.98,28.0,20846,00,-83,20114
1752,10-30 16:33:36:046,"[KUMHO110087A92031246B000100E100FAB0537A646A00A4]
",87A92031,24,1.0.7,1.0.6,0.0,-3.568,-0.289,2.98,28.0,31332,00,-92,10240
1753,10-30 16:33:36:526,"[KUMHO110087A90D98246B0001010E00FD9F5223836A00A6]
",87A90D98,24,1.0.7,1.0.6,0.0,1.742,-0.172,2.81,27.0,9091,00,-90,10113
1754,10-30 16:33:38:347,"[KUMHO110087A90C83246B000100E000FBB053188C6A00B5]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.98,28.0,6284,00,-75,10225
1755,10-30 16:33:39:178,"[KUMHO110087A90C9E246B000200E300FCB05310546A00A6]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.98,28.0,4180,00,-90,10273
1756,10-30 16:33:39:209,"[KUMHO110087A91B39246B0002010D00FBAF53BE736A00A5]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,28.0,48755,00,-91,10145
1757,10-30 16:33:39:257,"[KUMHO110087A90C04246B000100F800FEB0533ADE6A00A4]
",87A90C04,24,1.0.7,1.0.6,0.0,-0.854,-0.133,2.98,28.0,15070,00,-92,10112
1758,10-30 16:33:42:229,"[KUMHO110087A91CB2246B0002011C00FFB05025EE6A00AB]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.394,-0.094,2.98,25.0,9710,00,-85,10209
1759,10-30 16:33:44:147,"[KUMHO110087A91C14246B000100E500FCAF5227246A00BC]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.096,-0.211,2.97,27.0,10020,00,-68,10049
1760,10-30 16:33:44:546,"[KUMHO110087A90CCF246B000200E100FBAB51AF876A00A3]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.568,-0.25,2.93,26.0,44935,00,-93,10081
